epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6111,0.8909,2.00035,1.22049,0.59294,0.37658,0.45233,0.35896,0.70972,2.18858,1.01785,0.00014756,0.00014756,0.00014756
2,89.5337,0.87935,1.83631,1.17986,0.63368,0.4543,0.47055,0.37514,0.7343,2.08307,1.07016,0.000293942,0.000293942,0.000293942
3,133.769,0.8637,1.79659,1.21465,0.61239,0.43264,0.48958,0.37414,0.74605,2.08982,1.05634,0.000434293,0.000434293,0.000434293
4,178.572,0.89092,1.80769,1.2113,0.647,0.3216,0.37866,0.29083,0.76889,2.32432,1.06309,0.000447726,0.000447726,0.000447726
5,222.694,0.87991,1.76045,1.22249,0.3404,0.4676,0.32439,0.24059,0.79048,2.32188,1.11347,0.000438301,0.000438301,0.000438301
6,266.625,0.82426,1.68399,1.20284,0.47676,0.3389,0.35161,0.2621,0.81749,2.20652,1.11889,0.000428876,0.000428876,0.000428876
7,309.885,0.86403,1.66052,1.2046,0.61275,0.30394,0.35652,0.25915,0.72054,2.05769,1.05112,0.000419451,0.000419451,0.000419451
8,354.401,0.83496,1.5861,1.15526,0.54293,0.30208,0.34949,0.25815,0.7441,2.26054,1.05608,0.000410026,0.000410026,0.000410026
9,398.515,0.82632,1.51286,1.1537,0.36805,0.49782,0.41698,0.32077,0.7514,2.1524,1.08559,0.000400602,0.000400602,0.000400602
10,443.3,0.79237,1.50229,1.16796,0.44098,0.44252,0.41506,0.32244,0.71296,2.05435,1.03945,0.000391177,0.000391177,0.000391177
11,486.948,0.81206,1.49931,1.17465,0.55663,0.41516,0.40962,0.31308,0.75199,2.26476,1.09715,0.000381752,0.000381752,0.000381752
12,531.106,0.77056,1.44608,1.13332,0.56277,0.38844,0.40354,0.3067,0.75673,2.34859,1.13038,0.000372327,0.000372327,0.000372327
13,574.105,0.78497,1.43206,1.14665,0.5388,0.41445,0.4108,0.32229,0.71498,1.99147,1.06589,0.000362902,0.000362902,0.000362902
14,612.374,0.79689,1.43296,1.16407,0.55412,0.39698,0.41954,0.32627,0.69809,1.96035,1.01613,0.000353478,0.000353478,0.000353478
15,654.03,0.75724,1.35477,1.15684,0.44913,0.45077,0.39859,0.31396,0.69355,1.90158,1.0246,0.000344053,0.000344053,0.000344053
16,694.507,0.75416,1.33601,1.13842,0.68446,0.28268,0.35474,0.26627,0.74362,2.03756,1.07136,0.000334628,0.000334628,0.000334628
17,733.541,0.74765,1.31466,1.12219,0.39185,0.52242,0.40303,0.28813,0.76474,1.97478,1.07918,0.000325203,0.000325203,0.000325203
