epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0796,1.46327,4.3075,1.36051,0,0,0,0,1.35157,4.3995,1.25187,1.904e-05,1.904e-05,1.904e-05
2,99.9449,1.40632,4.24431,1.34505,0,0,0,0,1.26881,4.37333,1.19698,4.24159e-05,4.24159e-05,4.24159e-05
3,132.069,1.30836,4.17596,1.26469,0,0,0,0,1.15547,4.32957,1.12595,6.53205e-05,6.53205e-05,6.53205e-05
4,163.108,1.30207,4.07406,1.2534,0,0,0,0,1.10824,4.29492,1.086,8.77539e-05,8.77539e-05,8.77539e-05
5,194.719,1.22393,3.86889,1.21523,0.101,0.03756,0.06438,0.04926,1.07654,4.25737,1.0614,0.000109716,0.000109716,0.000109716
6,226.184,1.2702,3.73652,1.22843,0.04286,0.07805,0.04832,0.03462,1.07632,4.21051,1.05513,0.000131207,0.000131207,0.000131207
7,257.317,1.26928,3.51786,1.21736,0.04635,0.20565,0.06689,0.04911,1.08517,4.0944,1.04725,0.000152227,0.000152227,0.000152227
8,288.485,1.16857,3.14609,1.21179,0.03661,0.32109,0.07271,0.04975,1.09374,3.94891,1.04968,0.000172775,0.000172775,0.000172775
9,319.966,1.2502,3.20814,1.22888,0.02513,0.42842,0.09339,0.06329,1.07761,3.68263,1.04203,0.000192852,0.000192852,0.000192852
10,352.721,1.28387,2.96755,1.18003,0.85817,0.04519,0.10185,0.07109,1.0816,3.54514,1.0507,0.000212458,0.000212458,0.000212458
11,384.854,1.23125,2.73915,1.16275,0.86305,0.05149,0.11918,0.08308,1.1171,3.42252,1.06439,0.000231593,0.000231593,0.000231593
12,418.512,1.14229,2.88464,1.17577,0.87635,0.07234,0.13499,0.09449,1.10723,3.2896,1.05877,0.000250257,0.000250257,0.000250257
13,448.863,1.18419,2.59755,1.16606,0.81718,0.08273,0.14109,0.0998,1.07036,3.21524,1.043,0.000268449,0.000268449,0.000268449
14,481.215,1.20821,2.71352,1.20097,0.79049,0.08825,0.15651,0.1113,1.04347,3.11277,1.03468,0.00028617,0.00028617,0.00028617
15,512.5,1.14453,2.51514,1.18719,0.72744,0.11606,0.17966,0.1269,1.0493,2.98247,1.0348,0.00030342,0.00030342,0.00030342
16,543.745,1.15995,2.32342,1.17406,0.72446,0.13705,0.19704,0.14033,1.04991,2.8906,1.03708,0.000320198,0.000320198,0.000320198
17,575.29,1.14821,2.32435,1.17449,0.69846,0.16242,0.22813,0.15767,1.09516,2.6303,1.05085,0.000336505,0.000336505,0.000336505
18,606.376,1.16045,2.33787,1.1594,0.66848,0.17906,0.23795,0.16387,1.0976,2.50222,1.05355,0.000352341,0.000352341,0.000352341
19,638.549,1.13415,2.06756,1.14526,0.64556,0.21078,0.25,0.17351,1.06783,2.40518,1.04718,0.000367706,0.000367706,0.000367706
20,678.434,1.12758,2.13473,1.1836,0.66565,0.23943,0.26842,0.1922,1.02039,2.34024,1.04051,0.0003826,0.0003826,0.0003826
21,723.87,1.0791,1.97543,1.15291,0.65217,0.25154,0.29477,0.21121,1.03751,2.2903,1.05032,0.000381752,0.000381752,0.000381752
22,763.174,1.14912,2.11586,1.14021,0.65847,0.2536,0.31581,0.22554,1.03024,2.20259,1.04133,0.00037704,0.00037704,0.00037704
23,799.828,1.13978,1.98491,1.14008,0.68248,0.28872,0.32938,0.23745,0.97385,2.06523,1.01376,0.000372327,0.000372327,0.000372327
24,837.854,1.08788,1.93739,1.13346,0.71078,0.32426,0.35665,0.25029,0.97399,1.87254,1.01801,0.000367615,0.000367615,0.000367615
25,876.186,1.06118,1.94597,1.13805,0.71373,0.35015,0.37595,0.26583,0.98235,1.78798,1.02406,0.000362902,0.000362902,0.000362902
26,915.244,1.13033,1.88177,1.12618,0.70964,0.34903,0.39552,0.28438,0.94691,1.68987,1.01155,0.00035819,0.00035819,0.00035819
27,948.883,1.05124,1.7246,1.1296,0.72574,0.36849,0.4134,0.30113,0.91761,1.60993,0.99975,0.000353478,0.000353478,0.000353478
28,982.922,1.01841,1.6747,1.09876,0.75077,0.39656,0.42386,0.31193,0.89997,1.53993,0.98761,0.000348765,0.000348765,0.000348765
29,1017.63,1.03832,1.73231,1.13327,0.75185,0.39374,0.42975,0.32013,0.89265,1.51768,0.9847,0.000344053,0.000344053,0.000344053
30,1053.19,1.06054,1.64427,1.11899,0.76434,0.41353,0.45578,0.34067,0.8773,1.46588,0.97619,0.00033934,0.00033934,0.00033934
31,1087.81,1.01204,1.62341,1.1055,0.76603,0.44743,0.47429,0.35802,0.87221,1.43298,0.97434,0.000334628,0.000334628,0.000334628
32,1121.92,1.01982,1.65263,1.08493,0.77427,0.44174,0.50271,0.38078,0.88118,1.42049,0.98413,0.000329916,0.000329916,0.000329916
33,1160.57,0.98796,1.65629,1.09979,0.80118,0.44635,0.51654,0.38354,0.87433,1.43776,0.98497,0.000325203,0.000325203,0.000325203
34,1193.51,1.03463,1.62741,1.12638,0.81481,0.43563,0.51871,0.38439,0.86547,1.44544,0.98206,0.000320491,0.000320491,0.000320491
35,1225.23,1.00405,1.54855,1.09935,0.77315,0.45955,0.52745,0.39258,0.86207,1.44675,0.97793,0.000315778,0.000315778,0.000315778
36,1259.39,1.0285,1.58429,1.08865,0.72974,0.48661,0.53406,0.39406,0.8475,1.45669,0.97096,0.000311066,0.000311066,0.000311066
37,1291.13,0.95694,1.46973,1.0736,0.76931,0.47842,0.54534,0.39881,0.84294,1.43255,0.96833,0.000306354,0.000306354,0.000306354
38,1324.2,1.00749,1.58315,1.13226,0.79596,0.48075,0.56298,0.41527,0.84386,1.38516,0.96584,0.000301641,0.000301641,0.000301641
39,1356.87,0.96174,1.45894,1.07594,0.76183,0.49275,0.5798,0.43235,0.83976,1.36215,0.96484,0.000296929,0.000296929,0.000296929
40,1389.27,0.96624,1.50771,1.06954,0.74937,0.49935,0.58825,0.43723,0.85662,1.34483,0.97286,0.000292216,0.000292216,0.000292216
41,1422.12,0.98449,1.42449,1.07769,0.87964,0.44541,0.60156,0.44759,0.86618,1.32338,0.97729,0.000287504,0.000287504,0.000287504
42,1455.17,0.96544,1.37493,1.06075,0.86986,0.43833,0.60736,0.44583,0.87414,1.28746,0.98029,0.000282792,0.000282792,0.000282792
43,1489.72,0.97505,1.42178,1.07326,0.86352,0.45345,0.62157,0.46261,0.87543,1.25415,0.97908,0.000278079,0.000278079,0.000278079
44,1523.13,0.99437,1.33925,1.0703,0.78319,0.54169,0.64877,0.48699,0.84972,1.21218,0.9711,0.000273367,0.000273367,0.000273367
45,1558,0.9572,1.35708,1.07208,0.80864,0.57273,0.67073,0.50078,0.84102,1.20253,0.96463,0.000268654,0.000268654,0.000268654
46,1591.68,0.99994,1.3778,1.11569,0.83766,0.54742,0.68031,0.51638,0.83826,1.21475,0.96143,0.000263942,0.000263942,0.000263942
47,1626.08,0.93217,1.30918,1.05089,0.87191,0.52566,0.69293,0.53257,0.83376,1.2098,0.95619,0.00025923,0.00025923,0.00025923
48,1659.71,0.96157,1.34512,1.04439,0.89121,0.50735,0.67947,0.52744,0.81337,1.18607,0.94248,0.000254517,0.000254517,0.000254517
49,1695.08,0.96462,1.41049,1.09711,0.77107,0.59993,0.68718,0.53266,0.81119,1.17222,0.93972,0.000249805,0.000249805,0.000249805
50,1728.23,0.92618,1.31824,1.05305,0.80598,0.58514,0.7198,0.54817,0.81481,1.17399,0.93821,0.000245092,0.000245092,0.000245092
